Text_Title,Cutoff_Year,Cutoff_Session,Paper_Stream,App_Total,Num_Stream_App,Text_Type,Primary_Theme,Author_Gender,Word_Count,Text_Age,Yrs_Since_Last,Sessions_Since_Last,Appd_Last_1,Appd_Last_2,Appd_Last_3,App_Next
Beyond the Sky and the Earth: A Journey into Bhutan,2018,May/June,Non-R,0,0,Travelogue,Social,0,Long,Mid,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2018,May/June,R,0,0,Travelogue,Social,0,Long,Mid,999,999,0,0,0,0
Young & Dyslexic: You've Got it Going,2018,May/June,Non-R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
Young & Dyslexic: You've Got it Going,2018,May/June,R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2018,May/June,Non-R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
The Danger of a Single Story,2018,May/June,R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2018,May/June,Non-R,0,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2018,May/June,R,0,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
127 Hours: Between a Rock and a Hard Place,2018,May/June,Non-R,0,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
127 Hours: Between a Rock and a Hard Place,2018,May/June,R,0,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
A Passage to Africa,2018,May/June,Non-R,0,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2018,May/June,R,0,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,1
H is for Hawk,2018,May/June,Non-R,0,0,Memoir,Personal,0,Medium,Modern,999,999,0,0,0,0
H is for Hawk,2018,May/June,R,0,0,Memoir,Personal,0,Medium,Modern,999,999,0,0,0,0
Chinese Cinderella,2018,May/June,Non-R,0,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
Chinese Cinderella,2018,May/June,R,0,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
The Explorer’s Daughter,2018,May/June,Non-R,0,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,1
The Explorer’s Daughter,2018,May/June,R,0,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2018,May/June,Non-R,0,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2018,May/June,R,0,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2019,Jan/Feb,Non-R,1,0,Travelogue,Social,0,Long,Mid,999,999,0,0,0,0
Beyond the Sky and the Earth: A Journey into Bhutan,2019,Jan/Feb,R,1,1,Travelogue,Social,0,Long,Mid,1,1,1,0,0,0
Young & Dyslexic: You've Got it Going,2019,Jan/Feb,Non-R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
Young & Dyslexic: You've Got it Going,2019,Jan/Feb,R,0,0,Article,Personal,1,Long,Modern,999,999,0,0,0,0
The Danger of a Single Story,2019,Jan/Feb,Non-R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
The Danger of a Single Story,2019,Jan/Feb,R,0,0,Speech,Social,0,Medium,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2019,Jan/Feb,Non-R,0,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
A Game of Polo with a Headless Goat,2019,Jan/Feb,R,0,0,Travelogue,Social,0,Short,Modern,999,999,0,0,0,0
127 Hours: Between a Rock and a Hard Place,2019,Jan/Feb,Non-R,0,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
127 Hours: Between a Rock and a Hard Place,2019,Jan/Feb,R,0,0,Memoir,Conflict,1,Short,Modern,999,999,0,0,0,0
A Passage to Africa,2019,Jan/Feb,Non-R,0,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
A Passage to Africa,2019,Jan/Feb,R,0,0,Article,Conflict,1,Medium,Modern,999,999,0,0,0,0
H is for Hawk,2019,Jan/Feb,Non-R,1,1,Memoir,Personal,0,Medium,Modern,1,1,1,0,0,0
H is for Hawk,2019,Jan/Feb,R,1,0,Memoir,Personal,0,Medium,Modern,999,999,0,0,0,0
Chinese Cinderella,2019,Jan/Feb,Non-R,0,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,0
Chinese Cinderella,2019,Jan/Feb,R,0,0,Memoir,Personal,0,Medium,Mid,999,999,0,0,0,1
The Explorer’s Daughter,2019,Jan/Feb,Non-R,0,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,0
The Explorer’s Daughter,2019,Jan/Feb,R,0,0,Memoir,Conflict,0,Short,Modern,999,999,0,0,0,0
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2019,Jan/Feb,Non-R,0,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,1
"Explorers or boys messing about? Either way, taxpayer gets rescue bill",2019,Jan/Feb,R,0,0,Article,Conflict,1,Short,Modern,999,999,0,0,0,0
