Text_Title,Cutoff_Year,Cutoff_Session,Paper_Stream,Num_Stream_App,Text_Type,Primary_Theme,Word_Count,Text_Age,Sessions_Since_Last,App_Next
Disabled,2018,May/June,Non-R,0,Poem,Personal,Short,Old,999,0
Disabled,2018,May/June,R,0,Poem,Personal,Short,Old,999,1
"""Out, Out -""",2018,May/June,Non-R,0,Poem,Suspense,Short,Old,999,0
"""Out, Out -""",2018,May/June,R,0,Poem,Suspense,Short,Old,999,0
An Unknown Girl,2018,May/June,Non-R,0,Poem,Personal,Short,Modern,999,0
An Unknown Girl,2018,May/June,R,0,Poem,Personal,Short,Modern,999,0
The Bright Lights of Sarajevo,2018,May/June,Non-R,0,Poem,Resilience,Short,Modern,999,0
The Bright Lights of Sarajevo,2018,May/June,R,0,Poem,Resilience,Short,Modern,999,0
Still I Rise,2018,May/June,Non-R,0,Poem,Resilience,Short,Modern,999,1
Still I Rise,2018,May/June,R,0,Poem,Resilience,Short,Modern,999,0
The Story of an Hour,2018,May/June,Non-R,0,Story,Personal,Medium,Old,999,0
The Story of an Hour,2018,May/June,R,0,Story,Personal,Medium,Old,999,0
The Necklace,2018,May/June,Non-R,0,Story,Social,Long,Old,999,0
The Necklace,2018,May/June,R,0,Story,Social,Long,Old,999,0
Significant Cigarettes,2018,May/June,Non-R,0,Story,Social,Long,Modern,999,0
Significant Cigarettes,2018,May/June,R,0,Story,Social,Long,Modern,999,0
Whistle and I'll Come to You,2018,May/June,Non-R,0,Story,Suspense,Medium,Old,999,0
Whistle and I'll Come to You,2018,May/June,R,0,Story,Suspense,Medium,Old,999,0
Night,2018,May/June,Non-R,0,Story,Suspense,Long,Modern,999,0
Night,2018,May/June,R,0,Story,Suspense,Long,Modern,999,0
Disabled,2019,Jan/Feb,Non-R,0,Poem,Personal,Short,Old,999,0
Disabled,2019,Jan/Feb,R,0,Poem,Personal,Short,Old,999,0
"""Out, Out -""",2019,Jan/Feb,Non-R,0,Poem,Suspense,Short,Old,999,0
"""Out, Out -""",2019,Jan/Feb,R,0,Poem,Suspense,Short,Old,999,0
An Unknown Girl,2019,Jan/Feb,Non-R,0,Poem,Personal,Short,Modern,999,0
An Unknown Girl,2019,Jan/Feb,R,0,Poem,Personal,Short,Modern,999,1
The Bright Lights of Sarajevo,2019,Jan/Feb,Non-R,0,Poem,Resilience,Short,Modern,999,0
The Bright Lights of Sarajevo,2019,Jan/Feb,R,0,Poem,Resilience,Short,Modern,999,0
Still I Rise,2019,Jan/Feb,Non-R,0,Poem,Resilience,Short,Modern,999,0
Still I Rise,2019,Jan/Feb,R,0,Poem,Resilience,Short,Modern,999,0
The Story of an Hour,2019,Jan/Feb,Non-R,1,Story,Personal,Medium,Old,1,0
The Story of an Hour,2019,Jan/Feb,R,0,Story,Personal,Medium,Old,999,0
The Necklace,2019,Jan/Feb,Non-R,0,Story,Social,Long,Old,999,0
The Necklace,2019,Jan/Feb,R,1,Story,Social,Long,Old,1,0
Significant Cigarettes,2019,Jan/Feb,Non-R,0,Story,Social,Long,Modern,999,0
Significant Cigarettes,2019,Jan/Feb,R,0,Story,Social,Long,Modern,999,0
Whistle and I'll Come to You,2019,Jan/Feb,Non-R,0,Story,Suspense,Medium,Old,999,1
Whistle and I'll Come to You,2019,Jan/Feb,R,0,Story,Suspense,Medium,Old,999,0
Night,2019,Jan/Feb,Non-R,0,Story,Suspense,Long,Modern,999,0
Night,2019,Jan/Feb,R,0,Story,Suspense,Long,Modern,999,0
Disabled,2019,May/June,Non-R,0,Poem,Personal,Short,Old,999,0
Disabled,2019,May/June,R,1,Poem,Personal,Short,Old,1,0
"""Out, Out -""",2019,May/June,Non-R,0,Poem,Suspense,Short,Old,999,0
"""Out, Out -""",2019,May/June,R,0,Poem,Suspense,Short,Old,999,1
An Unknown Girl,2019,May/June,Non-R,0,Poem,Personal,Short,Modern,999,0
An Unknown Girl,2019,May/June,R,0,Poem,Personal,Short,Modern,999,0
The Bright Lights of Sarajevo,2019,May/June,Non-R,0,Poem,Resilience,Short,Modern,999,1
The Bright Lights of Sarajevo,2019,May/June,R,0,Poem,Resilience,Short,Modern,999,0
Still I Rise,2019,May/June,Non-R,1,Poem,Resilience,Short,Modern,1,0
Still I Rise,2019,May/June,R,0,Poem,Resilience,Short,Modern,999,0
The Story of an Hour,2019,May/June,Non-R,1,Story,Personal,Medium,Old,2,0
The Story of an Hour,2019,May/June,R,0,Story,Personal,Medium,Old,999,0
The Necklace,2019,May/June,Non-R,0,Story,Social,Long,Old,999,0
The Necklace,2019,May/June,R,1,Story,Social,Long,Old,2,0
Significant Cigarettes,2019,May/June,Non-R,0,Story,Social,Long,Modern,999,0
Significant Cigarettes,2019,May/June,R,0,Story,Social,Long,Modern,999,0
Whistle and I'll Come to You,2019,May/June,Non-R,0,Story,Suspense,Medium,Old,999,0
Whistle and I'll Come to You,2019,May/June,R,0,Story,Suspense,Medium,Old,999,0
Night,2019,May/June,Non-R,0,Story,Suspense,Long,Modern,999,0
Night,2019,May/June,R,0,Story,Suspense,Long,Modern,999,0
Disabled,2020,Jan/Feb,Non-R,0,Poem,Personal,Short,Old,999,0
